id,Country,Population2025,YearlyChange,NetChange,Density,LandArea,MigrantsNet,FertilityRate,MedianAge,UrbanPop,WorldShare,Cluster
220,Palau,17663.0,-0.18,-32.0,38.0,460.0,-16.0,1.86,38.5,62.05,0.00021,0
221,Anguilla,14728.0,0.89,130.0,164.0,90.0,70.0,1.35,38.7,62.05,0.00018,0
222,Cook Islands,13263.0,-3.39,-466.0,55.0,240.0,-460.0,2.0,37.1,62.05,0.00016,0
223,Nauru,12025.0,0.65,78.0,601.0,20.0,-122.0,3.25,20.2,94.2,0.00015,1
224,Saint Barthelemy,11414.0,1.39,156.0,544.0,21.0,158.0,0.83,39.0,62.05,0.00014,0
225,Wallis & Futuna,11194.0,-0.74,-83.0,80.0,140.0,-83.0,1.4,38.2,62.05,0.00014,0
226,Tuvalu,9492.0,-1.6,-154.0,316.0,30.0,-255.0,3.14,24.2,86.0,0.00012,0
227,Saint Pierre & Miquelon,5574.0,-0.96,-54.0,24.0,230.0,-8.0,1.28,47.2,62.05,6.8e-05,0
228,Saint Helena,5197.0,-0.76,-40.0,13.0,390.0,1.0,1.64,50.9,33.4,6.3e-05,3
229,Montserrat,4359.0,-0.68,-30.0,44.0,100.0,-9.0,1.45,41.6,11.5,5.3e-05,3
230,Falkland Islands,3469.0,-0.03,-1.0,0.0,12170.0,-17.0,1.7,42.8,68.0,4.2e-05,0
231,Tokelau,2608.0,4.07,102.0,261.0,10.0,53.0,2.57,27.3,62.05,3.2e-05,3
232,Niue,1821.0,0.11,2.0,7.0,260.0,3.0,2.46,35.7,44.5,2.2e-05,3
233,Holy See,501.0,1.01,5.0,1253.0,0.0,13.0,1.0,57.4,62.05,6.1e-06,0
